Features,Weights
abcc10,-0.004244031830238693
ccnb1,-0.004244031830238715
cacna2d3,-0.004244031830238715
spry2,-0.004244031830238715
e2f6,-0.004774535809018543
gdf11,-0.004774535809018543
hif1a,-0.004774535809018543
hist1h2bc,-0.004774535809018543
cohort,-0.004774535809018566
stat5a,-0.004774535809018566
cyp2c8,-0.0053050397877983935
tulp4,-0.0053050397877983935
arid5b,-0.005835543766578221
kit,-0.005835543766578244
nottingham_prognostic_index,-0.00848806366047743
